,white_locals,black_locals,winner
1504,4,4,
1505,4,1,black
1506,3,4,white
1507,5,2,black
1508,2,4,white
1509,5,4,
1510,3,0,black
1511,4,5,black
1512,4,3,
1513,3,3,
1514,5,2,black
1515,3,4,
1516,3,4,white
1517,4,3,
1518,2,4,white
1519,4,4,white
1520,4,4,
1521,3,1,black
1522,6,3,black
1523,4,4,
1524,2,5,
1525,2,5,white
1526,3,2,
1527,3,4,white
1528,2,4,white
1529,4,5,white
1530,4,5,white
1531,2,5,white
1532,3,5,
1533,3,5,white
1534,3,4,white
1535,5,3,black
1536,3,4,white
1537,4,3,black
1538,5,3,
1539,4,4,
1540,5,2,black
1541,4,4,black
1542,4,5,white
1543,4,2,black
1544,3,5,white
1545,3,3,
1546,4,3,black
1547,4,4,white
1548,2,3,white
1549,4,3,
1550,2,4,white
1551,2,6,white
1552,5,3,black
1553,3,4,
1554,3,4,white
1555,3,4,white
1556,3,5,white
1557,5,4,
1558,4,3,black
1559,2,4,white
1560,4,2,black
1561,4,4,
1562,3,4,white
1563,4,3,white
1564,5,4,black
1565,3,3,black
1566,3,4,
1567,5,3,black
1568,3,5,white
1569,2,4,white
1570,2,4,white
1571,3,3,
1572,4,1,black
1573,2,3,white
1574,3,5,white
1575,4,3,black
1576,3,4,black
1577,4,4,white
1578,3,3,white
1579,5,4,black
1580,2,3,white
1581,4,4,white
1582,4,2,black
1583,4,4,white
1584,4,1,black
1585,4,3,black
1586,3,5,
1587,4,4,white
1588,4,3,white
1589,3,4,white
1590,3,5,white
1591,6,3,black
1592,4,4,black
1593,4,2,black
1594,3,4,
1595,5,2,black
1596,4,3,
1597,3,2,black
1598,3,4,white
1599,4,3,black
1600,3,3,
1601,3,5,white
1602,4,4,white
1603,4,3,black
1604,5,2,black
1605,5,1,black
1606,4,4,
1607,2,3,white
1608,3,3,black
1609,3,5,
1610,3,1,black
1611,5,3,black
1612,4,3,black
1613,4,4,white
1614,4,4,white
1615,3,3,white
1616,3,0,black
1617,3,4,white
1618,3,2,black
1619,5,4,black
1620,4,1,black
1621,3,4,white
1622,4,5,
1623,3,3,white
1624,3,1,black
1625,4,4,white
1626,5,0,black
1627,3,4,white
1628,3,2,black
1629,4,3,black
1630,3,2,black
1631,4,1,black
1632,3,4,white
1633,3,2,black
1634,4,4,
1635,2,5,white
1636,5,1,black
1637,3,4,
1638,5,4,
1639,4,3,black
1640,5,2,black
1641,3,5,white
1642,4,2,black
1643,3,2,black
1644,5,4,
1645,3,4,white
1646,3,3,white
1647,3,2,black
1648,5,3,
1649,4,3,
1650,4,4,
1651,3,4,white
1652,4,4,
1653,5,3,
1654,3,3,white
1655,2,4,white
1656,4,4,black
1657,5,3,black
1658,3,5,white
1659,4,3,white
1660,3,5,
1661,3,6,white
1662,4,4,white
1663,4,2,black
1664,4,4,
1665,3,4,
1666,2,5,white
1667,3,0,black
1668,3,4,white
1669,3,4,white
1670,1,4,white
1671,3,5,black
1672,4,2,black
1673,4,3,black
1674,5,3,black
1675,5,3,black
1676,5,0,black
1677,1,3,white
1678,4,5,
1679,4,4,white
1680,2,4,white
1681,5,2,black
1682,3,3,white
1683,3,2,black
1684,4,3,black
1685,6,3,black
1686,2,4,
1687,3,1,black
1688,1,4,white
1689,4,2,black
1690,2,4,white
1691,4,3,black
1692,4,4,black
1693,3,5,
1694,2,4,
1695,6,2,black
1696,3,5,white
1697,3,4,white
1698,3,4,black
1699,5,3,black
